position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UCXMWfR3Wi8OlGUs9BpcmSQg,"C C++ Para Iniciantes",,2023-11-14T16:00:17.245861Z,,,109,1,5,https://yt3.ggpht.com/ytc/AIdro_n68ziQLwlP2zE2AoW58ea3RWol98GNssqM9F9i2ODfKsPj4j3sBfuxm6Wo8-ppOXb3Jw=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
2,UCot_OnNEtOQkFU7p8g4AOag,"Linguagem C - Português","Este canal procura difundir o gosto pela programação, promovendo conteúdos que irão ajudar e contribuir para uma melhor aprendizagem.",2021-02-09T15:43:23.526324Z,,PT,34535,806,45,https://yt3.ggpht.com/ytc/AIdro_lsh0CsyKfP-iKUjqSH2n_zQ-IZ7hylZGAskwVr3gIx=s800-c-k-c0x00ffffff-no-rj,"Programação|Programar|Linguagem C","Technology|Knowledge|Lifestyle (parent topic)"
3,UC2on_8iEu9gpnoFW1BTYc4Q,"Lập trình C/C++ cơ bản","Video hướng dẫn lập trình căn bản bằng ngôn ngữ C++ Khóa học C++ này được xây dựng cho những bạn chưa biết gì về lập trình, học từ A B C, những điều căn bản nhất. Mục tiêu là học xong khóa học này, các bạn có được tư duy lập trình tốt, hiểu và áp dụng được các giải thuật cơ bản. Có thể dễ dàng tự học các ngôn ngữ khác dựa trên nền tảng tư duy sẵn có từ khóa học này một cách nhanh chóng.",2015-09-08T10:05:15Z,,VN,162467,4790,10,https://yt3.ggpht.com/ytc/AIdro_lhdRAg_JCOaJD6-EiUkTq6mY5zg1NcVH1nrEZ1-nFDxg=s800-c-k-c0x00ffffff-no-rj,Lập|trình|C/C++,"Lifestyle (parent topic)|Knowledge|Technology"
4,UC74Q6S_1GQKNvaoKEYH5NEQ,"AlgoritmosAZ - C/C++","Neste canal são disponibilizados conteúdos relacionados com programação nas linguagens de programação C e C++. São vídeos que ensinam aspectos teóricos sobre essas linguagens e diversos exercícios resolvidos que explicam diversas questões associadas com essas linguagens. O canal também traz conteúdo explicativo e questões resolvidas da Olimpíada Brasileira de Informática (OBI) e da Maratona de Programação. ",2015-03-11T18:56:52Z,,BR,438202,2500,70,https://yt3.ggpht.com/ytc/AIdro_nLdAz-rMJ09HYhz7vAGMcyEmbb608N76QpWKraSCMGmw=s800-c-k-c0x00ffffff-no-rj,"Programação C|Programação C++|Linguagem de programação|Lógica de programação","Technology|Knowledge|Lifestyle (parent topic)"
5,UCtjcZNVZFi4NuiEYPLnXWcA,"Judson Santiago","Ciência da Computação com foco na linguagem C++ e suas aplicações. Pretendo trazer para este canal conteúdos sobre C++, indo do nível iniciante ao avançado, bem como conteúdos sobre desenvolvimento de jogos e computação gráfica, que são duas áreas em que a linguagem C++ é fortemente utilizada. Este será também o lugar onde irei postar os cursos completos das disciplinas que leciono na universidade. Quem sou eu? Sou doutor em Ciência da Computação e tenho mais de 25 anos de experiência na área. Ensino programação de computadores, programação de jogos, computação gráfica e compiladores para o curso de Ciência da Computação da UFERSA. Meu trabalho na universidade se concentra na área de jogos, sendo meu principal interesse o desenvolvimento de motores de jogos. ",2006-05-27T11:53:42Z,,BR,787748,11400,245,https://yt3.ggpht.com/MCj9cquH7fSkjFD7UPUSis6UX5L44Qz37AYaDNamU3uatdGhmEFGUG2JRw8xS0tf904NFxMBAmo=s800-c-k-c0x00ffffff-no-rj,"Compiladores|Programação|C++|C/C++|DirectX|Ciência da Computação|Programação de Computadores|Desenvolvimento de Jogos|Computação Gráfica|Linguagem C++|Programação de Jogos|Visual Studio","Lifestyle (parent topic)|Knowledge|Technology"
6,UCvjy8AzL86LRiOueGbXdOQQ,"Programação & Dev Games: C/C++ Unreal e Blueprints","Sou o professor Marcos Pacheco e estudo Unreal Engine desde 2010. Este canal é dedicado a programação com linguagem, C e C++ e desenvolvimento de Games com a Unreal Engine utilizando Blueprints e também C++. Meus cursos na Udemy: Já são mais de 27 mil alunos! 👉Aprendendo programação básica e avançada com Linguagem C++ https://www.udemy.com/course/cmaismaisbasico/?referralCode=956A556D144A0F4D36EC Aprendendo a Programar Games com C++ e a Unreal Engine 👉https://www.udemy.com/course/programacaonaue4/?referralCode=F755702A7A947CA8159A Aprendendo Programação do Zero ao Código com a Linguagem C 👉 https://www.udemy.com/course/aprendendo-programacao-do-zero-ao-codigo-com-a-linguagem-c/ Criando Seu Primeiro Game Com Unreal Engine e Blueprints 👉https://www.udemy.com/course/curso-de-game-com-unreal-engine-4/?referralCode=E9C1E1D81528381E6364 Criando um Game Avançado com Unreal Engine e Blueprints 👉https://www.udemy.com/course/unreal-4-blueprints-criando-o-game-swat-combat-street-war/ ",2011-10-17T17:02:34Z,,BR,187672,2880,125,https://yt3.ggpht.com/g1fHaN9HEPN6clAU5wDVb1OnrDuUR2BPuj5_5tfcdLyIyfBccC4u-Anb-vsMNr-v9LWsJNDIsg=s800-c-k-c0x00ffffff-no-rj,"Programação|C++|blueprints|UE5|Desenvolver Games do zero|unreal engine 5|programação com Blueprints|tutorial C++|linguagem C|Programação com C|Curso C|Curso programação C|Curso Grátis C|Curso Grátis C++|Curso Games|Curso de Desenvolvimento de Games|Curso de Jogos|Curso de Desenvolvimento de Jogos|Curso de Linguagem C++|Curso de Linguagem de programação C|Curso de Linguagem de Programação C++|Curso Grátis Programação|Curso Unreal Engine 5|unreal engine C++","Action game|Gaming (parent topic)|Knowledge|Technology|Lifestyle (parent topic)"
7,UC5e__RG9K3cHrPotPABnrwg,CppNow,"#cppnow #cplusplus #cpp #cplusplusprogramming #cplusplustutorial #cpptutorial ",2012-05-31T03:48:44Z,,US,4230803,37000,821,https://yt3.ggpht.com/ytc/AIdro_l3B9cDDS8zlgWAKFzKMcdMimITomXNPZHYlsQXgIW9Uw=s800-c-k-c0x00ffffff-no-rj,"C++|Boost|2025|Cpp|Programming|Coding|Cplusplus|CppNow|C++Now|Computer Science|C++ Talks|learn C++|boost programming","Lifestyle (parent topic)|Knowledge|Technology"
8,UCcS3HTXSQVPdzkOvGu7bgYg,"C/C++ Brasil",,2016-08-09T16:44:17Z,,,4230,221,25,https://yt3.ggpht.com/ytc/AIdro_nd7d7fbcqOOxT8KA6ATlFISwa0ONY-umK1AkebhftGHA=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
9,UCMlGfpWw-RUdWX_JbLCukXg,CppCon,"Visit cppcon.org for details on next year's conference. CppCon sponsors have made it possible to record and freely distribute over 1000 sessions from the first CppCon in 2014 to the present. We hope you enjoy them!",2012-04-30T02:34:36Z,,,32962278,175000,1756,https://yt3.ggpht.com/ytc/AIdro_l0Ji0L8P1v-r0c5MwPcEUM9NwrhI-B7NK9qF2sO6oM-w=s800-c-k-c0x00ffffff-no-rj,c++|cppcon,"Technology|Knowledge|Lifestyle (parent topic)"
10,UCildn8K6aV268dFkA5TocNw,"C++ MasterClass","Este canal foi criado por Herik Lima e Fabio Galuppo, dois dos maiores especialistas em C++ no mundo. Com uma vasta experiência e profundo conhecimento na linguagem, Herik e Fabio dedicam-se a compartilhar insights valiosos, discutir as últimas tendências, explorar técnicas avançadas e fornecer tutoriais detalhados sobre C++. Acesse o Site Oficial https://cppmasterclass.com.br ",2024-06-06T16:08:19.102929Z,,BR,157152,1040,43,https://yt3.ggpht.com/nxRxQFkkNZxCH1AlmqXyv8GAkZy-S6TRNAWPfM6qaVnLK5b-fjXEREzzOe-EEyn4iDsWaeMQJDc=s800-c-k-c0x00ffffff-no-rj,"C++|programação|Hotmart|networking|conteúdo|curadoria|tecnologia|software|CPP|C++ MasterClass|curso C++|formação C++|comunidade C++|especialistas C++|lives C++|novidades C++|curiosidades C++|suporte C++|dúvidas C++|desenvolvimento de software|programação avançada|tutorial C++|curso online|aula ao vivo|plataforma de cursos|treinamento C++|formação completa|código C++|carreira em TI|programação para iniciantes|treinamento profissional","Lifestyle (parent topic)|Knowledge|Technology"
