position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UCmjDevp9Y8r-qi-xueD3Izg,"Roger Melo | JavaScript","Te ensino a ser Fluente em JavaScript. ",2018-06-18T14:49:03Z,,BR,2567949,26200,764,https://yt3.ggpht.com/vWoWN8T45haR-Noh9g7dwHM7iAMOlZKPZ9FDHfYa0AaOT-VD7nU4LIdkBrCKRCSp6aENPK7v_Q=s800-c-k-c0x00ffffff-no-rj,"JavaScript|programação|programa|sistema|programador|front-end|frontend|cjrm|reactjs|react.js|vanilla javascript|javascript puro|front end|curso de javascript roger Melo|curso de react roger Melo|curso de react js roger Melo|passo a passo de projetos react js|react js|código javascript","Lifestyle (parent topic)|Knowledge|Technology"
2,UCCmKG_jTmuEhXqioTXbOXOQ,"JavaScript King","Hey, my name is Sahand Ghavidel. I teach and create HTML CSS, JavaScript projects. ",2020-06-09T04:00:07.801193Z,,AU,2773007,92700,11,https://yt3.ggpht.com/patrdR_ZGmBMDXPpeCN5aqqkbaQL1L5sKcIic5Lr_FjERzWUc0_PLBPtM30Wo98-RyrsTV5wmQ=s800-c-k-c0x00ffffff-no-rj,"javascript|js|javascript projects|html css javasript projects|javasctript king|javascript tutorial for beginners|javascript projects for beginners|javascript projects for practice|javascript project tutorial|javascript project tutorial for beginners|javascript projects for web development|html css javascript project|html css javascript|javascript kings 16 projects|javascript king projects|javascript projects for beginners with source code","Knowledge|Technology|Lifestyle (parent topic)"
3,UCky92hx0lZxVBi2BJ6Zm2Hg,"Tips Javascript","About Tips Javascript! Tips Javascript is a community of software developers getting together to help one another out. The software industry relies on collaboration and networked learning. We provide a place for that to happen. Blog: https://anonystick.com Facebook: https://www.facebook.com/TipJS/ Youtube: https://www.youtube.com/c/TipsJavascript ",2018-01-12T05:51:06Z,,VN,5869864,63700,798,https://yt3.ggpht.com/13mT1DVtpVGNVg1bFmzbW1lPcB66AcxhtjDup1b-u-ibcman7Zd-nrTuy6NKbasapM78Gclvug=s800-c-k-c0x00ffffff-no-rj,anonystick|javascript|nodejs|mongodb|rabbitmq|java|nestjs|go|mysql|kafka|elasticsearch|nginx|aws,"Knowledge|Technology|Lifestyle (parent topic)"
4,UCQM428Hwrvxla8DCgjGONSQ,"JavaScript Conferences by GitNation","The best JavaScript talks, the best JavaScript community 🚀 Welcome to the channel of the JavaScript-related family of conferences from GitNation. We organize JavaScript events for a bigger cause — we want the modern tech community to become a better place for developers and enthusiasts alike by encouraging professional growth opportunities, skills evolution, and nurturing the passion for the craft. All the GitNation events: https://gitnation.com/events Get our GitNation Multipass & Subscribe To 10+ Best JavaScript Conferences And Senior Deep Dives from 17€ per month! https://gitnation.com/multipass ",2014-02-12T21:33:14Z,,NL,1432751,16600,633,https://yt3.ggpht.com/-tNKqhMn9OSnChx0ArkcR9vOk9iYyfDcnGvjWDdbpvBpNwt5CXENEYpssW2NyHY97I-zUcUz=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Technology|Knowledge"
5,UCicOwFWkuMX0ddFaKCc_E5Q,"JavaScript Academy","Hi there! My name is Adam, and this is my channel Javascipt Academy. I learned so much from the online community about the web, javascript, and programmig, and I want to give back to this awesome community. The main purpose of this channel is to explain web programming, website building with easily understandable animations and examples. Stay tuned!",2020-04-11T09:22:15.605961Z,,,1289851,13900,27,https://yt3.ggpht.com/ytc/AIdro_nARuJkWS56u3s2MWWDOIZLmuanYtwsV3B7j91RxLjzYkg=s800-c-k-c0x00ffffff-no-rj,javascript|js|css|html|webdev|webdeveloper|webdevelopement,"Knowledge|Technology|Lifestyle (parent topic)"
6,UCmXmlB4-HJytD7wek0Uo97A,"JavaScript Mastery","Master modern web development with a project-based approach ",2018-12-25T10:37:24Z,,HR,106286322,1200000,189,https://yt3.ggpht.com/ek0JxMA0h1uXpnYKFL_dYo1ny3LWzAuLwGvaqQwb9Qh2oEQJIPNEPjDrY9yKsvMmIrq_Ooq_=s800-c-k-c0x00ffffff-no-rj,"javascript|reactjs|nodejs|webdev|web development|javascript mastery|learn js","Lifestyle (parent topic)|Technology|Knowledge"
7,UCzoVCacndDCfGDf41P-z0iA,JSConf,"The JSConf YouTube Channel. JSConf is a series of JavaScript conferences from around the world and here we release the conference talk videos for free as fast as we can after every event. Topics include JavaScript, HTML5, CSS, node.js, robotics, etc.",2012-10-09T10:21:46Z,,US,19590425,287000,1746,https://yt3.ggpht.com/ytc/AIdro_ltRigbEjK9HfAhlU6gVdqYyHN7uulgrQfff_RXtLU0e-8=s800-c-k-c0x00ffffff-no-rj,javascript|jsconf|html5|web|programming|software|development,"Technology|Knowledge|Lifestyle (parent topic)"
8,UCRQhZGXC0WK85YRXl7nGX0w,"All Things JavaScript, LLC","We assist you on your journey from a JavaScript novice to expert. From quick JavaScript tidbits to lengthy discussions on the nuances of the JavaScript language, we include it all. I spend an immense amount of time reading about and learning JavaScript. I use this information to create well thought out and effective tutorials. Find tutorials on everything from coersion to closures; from general JavaScript topics, to thorough examinations of important concepts. I design these tutorials to teach. I release a new tutorial each Wednesday. For full courses on JavaScript, visit our website at http://www.allthingsjavascript.com. We also maintain a full list of all our tutorials on our site. Would you like to help keep this channel going? https://www.patreon.com/allthingsjavascript",2016-08-08T23:10:48Z,,US,2649200,38600,253,https://yt3.ggpht.com/ytc/AIdro_msupIgt7EwuGjZMLqDrOpdZn6GLaGzM9NDVscFV7atFD4=s800-c-k-c0x00ffffff-no-rj,"JavaScript|Tutorial|learning|JavaScript Tips|Learn JavaScript|JavaScript explanations","Technology|Knowledge|Lifestyle (parent topic)"
9,UC9WtUscS9EUCaJuazSYjUlQ,"Ministry of JavaScript","Sharing knowledge of JavaScript, TypeScript, React, and NextJS for free. Video Series Released: Modern React JS Tutorials JavaScript Array, Objects, String, Promises Modern JavaScript Concepts. Video Series in progress: Complete Redux with React Complete Redux Saga with React Complete React Query with React Complete NextJS Modern TypeScript Tutorials Testing with React #javascript #react #nextjs #typescript #ministryofjavascript ",2022-08-04T00:58:04.853724Z,,PK,50188,1260,96,https://yt3.ggpht.com/tDH8DsaniKKQ9PSj1CzA2h2emy-BCBpx5wPokYYxwLqLUaT4XkoRarHGli_QDNYTmSXFNvv0Eg=s800-c-k-c0x00ffffff-no-rj,"javascript|typescript|reactjs|nextjs|ministryofjavascript|JavaScript|tutorial|tutorials|redux|redux toolkit|reactjs tutorials|javascript tutorials|react tutorials|redux in reactjs|redux in react","Knowledge|Technology|Lifestyle (parent topic)"
10,UC8IoJlilmVBB5C14vaj8EBw,"King of JavaScript","Hello Everyone I'm making for you javascript related videos. if you want to learn advanced Javascript then subscribe my channel. thanx official website : https://www.kingofjavascript.com/ ",2019-05-25T10:05:18Z,,IN,367913,3870,54,https://yt3.ggpht.com/ytc/AIdro_nmjexnghSsTwp5MvkjGhJ2hZcK423btICJnvqnv7H7xA=s800-c-k-c0x00ffffff-no-rj,"JavaScript|King of JavaScript Youtube|how to learn javascript|advanced tutorials|Hindi Javascript|Learn Javascript in hindi|new javascript technique|javascript tutorials|learn javascript in hindi|advanced javascript tutorials in hindi|latest advanced javascript tutorials in hindi|javascript advanced projects|learn advanced javascript in hindi|advanced javascript projects in hindi|advanced javascript programming in hindi|javascript tips and tricks in hindi","Lifestyle (parent topic)|Knowledge|Technology"
