position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UC6UhMtbGk6PZLhTSxILAHiQ,"Iniciantes Java",,2019-01-10T21:11:47Z,,,245,5,2,https://yt3.ggpht.com/ytc/AIdro_kW8rWEmTP0iRjcDZdl-TvECG3XtNwgxoMZ06WUQW9zCA=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
2,UCrXofHrXz-r143sy-SV68yQ,"HCAP - Java de 0 a 1","Quer aprender como programar utilizando a linguagem Java? Aqui lhe mostro o melhor caminho do 0 ao 1 A playlist Java0 - trabalha com a obordagem à linguagem de programação aplicando o paradigma de programação estruturada A playlist Java1 - trabalha com a abordagem à linguagem de programação aplicando o paradigma de orientação a objetos Se for o seu primeiro contato com a linguagem é aconselhável iniciar com os vídeos da playlist Java0 ",2025-03-22T19:27:30.973541Z,,BR,2871,78,80,https://yt3.ggpht.com/kcftY2solxhfssHkxwNe48e8wRM3eHaq7gWRNu3zBpIlge-vWaFFi8jbcZadUvqI0w4r-XL5=s800-c-k-c0x00ffffff-no-rj,"java|java para iniciantes|java vançado|curso de java","Lifestyle (parent topic)|Knowledge|Technology"
3,UC-M6N32zu77YDLRB55YbPFA,"Explicacoes de Java","Se procuras explicações de Java chegaste ao sitio certo! Ajuda em trabalhos, preparação de frequências/exames e acompanhamento da matéria das aulas. Espaços disponíveis em: - Saldanha (Lisboa); - Lumiar (Lisboa); - Oeiras. Contacta-me hoje mesmo!",2016-01-20T21:03:26Z,,,1039,21,5,https://yt3.ggpht.com/ytc/AIdro_kvOzaf4XIFE30k07QehIZXVzWt1dQsaazfjcqsommNtjI=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
4,UCmRtPmgnQ04CMUpSUqPfhxQ,Java,"The official Java channel covering the Java platform, OpenJDK, and the Java ecosystem. Make sure to check https://inside.java and https://dev.java ",2005-10-04T08:56:41Z,,US,16094382,255000,1673,https://yt3.ggpht.com/Z63mCKOv_lXtIqtLHEKZsnvLsk5rzSNyTyd-ukAcdgGIAnKEbPKvu3tzF7NBlU91v3EKpbxMUg=s800-c-k-c0x00ffffff-no-rj,"java|oracle|developer|jdk|jvm|openjdk|hotspot|jep|computer programming|software development","Technology|Knowledge|Lifestyle (parent topic)"
5,UCwAMXWhlyC2lPaQGEIYaU0A,"Java Fácil","Este canal é dedicado à linguagem de programação Java. Serão oferecidos cursos gratuitos, dicas e assuntos relacionados à computação.",2024-09-11T20:55:25.442773Z,,BR,12806,920,131,https://yt3.ggpht.com/PwK2cQLRuNTupnoL2Xm-xVdSXV7aPV3zf6Py3SYoBuIVCcXbQauxg1NpL2SIDE14OefSCu7C=s800-c-k-c0x00ffffff-no-rj,java|computação|dev|desenvolvedor|programador|desenvolvedora|código|códigofonte|programação|ti|orientaçãoaobjetos|cursojava|cursodejava|javabrasil|youtube|devjunior|devpleno|devsenior,"Technology|Knowledge|Lifestyle (parent topic)"
6,UCQW1KQy3u869QhWILBoFB8A,"Comunidade Brasil JUG { Devs Java }","Somos uma comunidade de desenvolvedores Java dedicada a trocar experiências e compartilhar conhecimento, conectando profissionais iniciantes e experientes. Nosso objetivo é fortalecer o aprendizado e o crescimento profissional de todos que atuam com desenvolvimento de software em Java, criando um ambiente colaborativo e engajado. 💡 Quer apoiar a comunidade? Faça uma contribuição via Pix: d169b47d-e067-4a3e-8465-15cd4754494b ",2023-01-30T01:41:34.85495Z,pt,BR,22608,2040,123,https://yt3.ggpht.com/5gMwaRHm39eZbN6UwNnoM7Ivc27wirgtTGXcTnlGK03htsThgze4j_2DImQDndCCD4um6PQa=s800-c-k-c0x00ffffff-no-rj,java|programacao|tecnologia|comunidade|backend|programadores,"Lifestyle (parent topic)|Knowledge|Technology"
7,UCiVzRaWZeDg7WsybMLqXpcQ,"Matheus do Java","Desenvolvedor apaixonado por tecnologia. Aqui falamos de java e nada mais ;)",2023-07-12T01:24:40.903395Z,,BR,138886,4350,130,https://yt3.ggpht.com/N0a1qRWJheWS9RCmm2jO8VKU4yy_OvWYC75AWxd8Kc6UZ61y4Nr-M8ssxC_iZzFHuiktIpQiUQ=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
8,UCORuRdpN2QTCKnsuEaeK-kQ,"Java Techie","Welcome to Java Techie, your ultimate guide to cutting-edge technology! 🚀 Explore the realms of Core Java (versions 7, 8, and 17), Java/J2EE, Spring, Spring Boot, web services, Spring Cloud, microservices, Hibernate, JPA, RDBMS (MySQL), NoSQL (MongoDB, Neo4j, Cassandra), Kafka, RabbitMQ, Angular, React, Docker, Kubernetes, AWS, Azure, and CI/CD tools like Jenkins, GitHub, Splunk, ELK, Sonar, and JMeter. 🤝 Knowledge Exchange: Java Techie is a two-way street. Join a community passionate about sharing and gaining knowledge. Engage in discussions, ask questions, and let's grow together. 💡 About Me - [JavaTechie]: Passionate software developer and blogger based in Bangalore, India. I thrive on writing code, exploring new technologies, and sharing experiences globally. Join me on this journey of continuous learning! 🚀 Let's code, learn, and grow together! ""Sharing knowledge is the biggest learning."" 🚀 #JavaTechie #CodeWithPassion #TechTutorials ",2017-06-02T07:39:38Z,,IN,30690707,215000,512,https://yt3.ggpht.com/r4F_ssG3NAkTUwtI6K94xCnyTd0YH2aIzM90wG_15RcnhMs3S-_uaY4LGj_-LIFveSImkpHU=s800-c-k-c0x00ffffff-no-rj,,"Knowledge|Technology|Lifestyle (parent topic)"
9,UCTBexwCx-TIaXjESlNwh7xA,"Samuca Do Java","Bem-vindo ao canal Samuca do Java. Seja você um desenvolvedor experiente, um entusiasta curioso ou um iniciante completo que deseja mergulhar no fascinante mundo da programação, você veio ao lugar certo. O canal foca no dia-a-dia da vida do programador, na carreira, emprego e tudo mais que envolve os desafios da profissão.",2023-07-19T22:18:20.530643Z,pt,BR,26023,2040,112,https://yt3.ggpht.com/9m4NW0pN1nHmHpnNTy0fsg5cvVWQmQpiRmpSzrfBOqv-b1zBcJaav5jIoncuVyY9FJBM2YiR9w=s800-c-k-c0x00ffffff-no-rj,"programação|programador|emprego|linguagem de programação|mercado de programação|conseguir primeiro emprego como programador|aprender programação|primeiro emprego programação|entrevista de emprego dicas|primeiro emprego na programação|curso de programação do zero|como aprender programação|como conseguir um emprego de programador|como conseguir o primeiro emprego na programação|é difícil arrumar emprego na área de programação|conseguir emprego de programador","Society (parent topic)"
10,UCiXKghX-rNrKQqNZBFBJRTA,"Java Kabala","Курс по Java программированию с нуля",2016-01-19T12:39:40Z,,,2827593,8460,58,https://yt3.ggpht.com/PsgVPgL566W1fG6NalICGnwkN4wKRl5Uu3fq9tMGu1wMcnmgFnahkLgZnGcmLHZpdnyifZNDbQ=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Knowledge|Technology"
