position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UC2liIKa5d4tvBiNzBng20PA,Python,"Enjoy the POV video :)",2019-03-26T09:46:06Z,ja,JP,53718358,186000,78,https://yt3.ggpht.com/ytc/AIdro_lGi4z3whNpPXs0ag2AaCVfMzcw1l-eqKIXD_zMnPlZ32Q=s800-c-k-c0x00ffffff-no-rj,,"Lifestyle (parent topic)|Gaming (parent topic)|Action game"
2,UCywooHx7UiGuhvyQS4qcHvA,"Programador Python","Você só domina Python praticando. Bora codar? ",2023-08-04T14:48:47.551082Z,,BR,1960667,73900,117,https://yt3.ggpht.com/GizWPDuUU_1tsrRCfwAS7LwWAVdV38fQE5Mh_HErnlZedwuOUn7XC5EPOX-Fqk8JfTZt5Fyfow=s800-c-k-c0x00ffffff-no-rj,programacao|python|tutorial,"Lifestyle (parent topic)|Technology|Knowledge|Gaming (parent topic)"
3,UCripRddD4BnaMcU833ExuwA,"Python para Zumbis","https://linktr.ee/fmasanori Programação para iniciantes com Python ",2013-08-23T20:58:31Z,,BR,616633,24200,166,https://yt3.ggpht.com/ytc/AIdro_kPwEBRDIdrid0zQ3Rb89gD2opVM7cO3dtKgYDL9k-7pNM=s800-c-k-c0x00ffffff-no-rj,Python|comunidade|gratuito|pyladies|programação,"Technology|Knowledge|Lifestyle (parent topic)"
4,UC5I-yY3K44J8A5nYGo4tgCw,"Python Brasil","Bem-vindo ao Python Brasil, o seu Canal para explorar o incrível universo da programação Python! Proporcionamos uma jornada educativa e envolvente para todos, desde novatos curiosos até desenvolvedores experientes. Aprender Python é a chave para desbloquear um mundo de possibilidades. Em nosso canal, oferecemos conteúdo valioso para você ficar atualizado! Desvendamos os mistérios do Python de maneira simples, explicando conceitos, explorando funcionalidades e compartilhando insights para que você compreenda totalmente o potencial dessa linguagem. No Python Brasil, não apenas oferecemos tutoriais, mas também guiamos você por meio de aulas abrangentes. Aprenda não apenas a escrever código, mas a criar soluções robustas e eficientes. Inscreva-se agora para não perder nossos vídeos emocionantes! Junte-se à comunidade Python Brasil, onde a aprendizagem é empolgante, acessível e gratificante. Estamos aqui para inspirar, ensinar e capacitar. Vamos crescer juntos na jornada Python! ",2023-04-05T23:28:47.16574Z,,,25134,1250,86,https://yt3.ggpht.com/G0f54_qJ-rhQTg7moFdvlLVv9yAPtHp7-7mvdZU6zfIqb02d10Q6vQv688Q1r0zgQ9aHCkg3KA=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
5,UCSCeh6nJILegqsqsS1WizOQ,"Regis do Python","Dicas de Django.",2013-12-05T02:55:01Z,,BR,520289,6920,398,https://yt3.ggpht.com/ytc/AIdro_mNjy302QCMg4kWUsgH6-oP40VzIlB7Pjj63RrOaMWNDrg=s800-c-k-c0x00ffffff-no-rj,"python|sqlite|tutorial|django|drf|programação|dev|desenvolvimento|htmx|dicas|jwt|autenticação|login|templates|programacao|autenticacao|django rest framework|dicas de django|super dicas|curso django|django gratis|curso html","Lifestyle (parent topic)|Technology|Knowledge"
6,UC0L2VMhVc4S8seagF6DKO3A,"Daxus | Empowerdata Python","A Empowerdata agora é Daxus! Uma plataforma que conecta aprendizado prático a resultados reais. Aqui, você vai encontrar aulas gratuitas, cases de alunos, conteúdos atualizados sobre Power BI, Inteligência Artificial e muito mais. Aqui você vai apender Python, Javascript, Power BI, Excel, PowerPoint, Power Plataform, Inteligência Artificial e também vai desenvolver suas habilidades comportamentais como Comunicação e Oratória, Gestão de carreira, Inteligência emocional e muito mais. Tudo isso focado na construção da sua carreira! Confira nosso Canal Oficial Daxus: https://www.youtube.com/@daxusbrasil ",2022-11-27T15:55:35.760468Z,,BR,406020,37200,36,https://yt3.ggpht.com/WS1hLDfYdbECd3lFq1twnwrq3Fx6fYb1mRCs4tVQjwZLgs_H-LR7KvoJG55xkwAyX0NkgEXk=s800-c-k-c0x00ffffff-no-rj,"programação|python|tutoriais|inteligência artificial|ciência de dados|análise de dados|desenvolvimento de sistemas|banco de dados","Gaming (parent topic)|Knowledge|Technology|Lifestyle (parent topic)"
7,UCrNPk78dhdU0oOnBFf0fOKA,Python,"I make videos that I find very interesting! Want to sponsor me? Use my business email and I'll review what you would like me to promote python@organisedtalent.com ",2022-10-20T20:07:23.344544Z,,,8459271,78400,63,https://yt3.ggpht.com/ro_PD2wo5P3humJHzDo-4TQdnNHt1UzgflwvBo4iHGfCg9d8mpjzL2veDzW2_UMXrKX46VvMRw=s800-c-k-c0x00ffffff-no-rj,roblox,"Casual game|Action-adventure game|Gaming (parent topic)|Role-playing video game"
8,UCj4b_YT4QnFy6nx3dRCuc1w,"Python Coding (CLCODING)","Welcome to CLCODING – Your Python Powerhouse! 🐍 At CLCODING, we simplify Python programming for developers, students, and tech enthusiasts. From beginner tips to advanced projects, we cover: 🔹 Python Basics & Interview Questions 🔹 Real-World Projects & Use Cases 🔹 Data Science, Automation, Ethical Hacking 🔹 Python Libraries (Pandas, NumPy, Matplotlib & more) 🔹 Daily Coding Challenges & Quizzes Join our fast-growing community of coders and level up your Python skills with content that’s practical, clean, and fun. 📅 New videos Daily 🌐 Visit: clcoding.com 📲 Follow us on X, Threads, Instagram — @clcoding 👉 Subscribe now and code smarter with CLCODING! ",2022-01-29T04:18:21.220206Z,,IN,911992,54400,1336,https://yt3.ggpht.com/NQs8emQwnP1OO7s7eBPJ2nn80dIImqnKF7A0DpduWZgdN6XBBt6DCTsuR5iTt2umk8pcewnCsUQ=s800-c-k-c0x00ffffff-no-rj,"Python|Python|Python coding|Python Programming|Python code|Python Module|Python Library|Python for kid|Simple Python|Code in Python|Program in Python|Python coding|Python Programming|Python code|Python Module|Python Library|Python for kid|Simple Python|Code in Python|Program in Python","Lifestyle (parent topic)|Knowledge|Technology"
9,UCKQdc0-Targ4nDIAUrlfKiA,"Python Simplified","Hi everyone! My name is Mariya and I'm a software developer from Vancouver, British Columbia. I film programming tutorials about Computer Science Concepts, GUI Applications, Machine Learning and Artificial Intelligence, Automation and Web Scraping, Data Science and even Math! 🤓 I'm here to help you with your programming journey (in particular - your Python programming journey 😉) and show you how many beautiful and powerful things we can do with code! 💪💪💪 ",2019-01-25T00:48:09Z,,CA,12796833,275000,228,https://yt3.ggpht.com/ytc/AIdro_ngt_N86CG1gQ576UmAbpFyxnCZddjPWzzKXzTfxljsZkM=s800-c-k-c0x00ffffff-no-rj,"python|code|automation|automate|coding|ai|ml|bots|analytics|statistics|computing|python programming|learn python|learn programming|learn coding|python tutorial|coding tutorial|coding lessons|programming lessons|python lessons|create GUI|web scraping|create a bot|learn automation|artificial intelligence|machine learning|deep learning|data science|parallel computing|computer science","Knowledge|Technology|Lifestyle (parent topic)"
10,UCbXgNpp0jedKWcQiULLbDTA,"Patrick Loeber","Free Python and Machine Learning Tutorials! Hi, I'm Patrick. I’m a passionate Software Engineer who loves Machine Learning, Computer Vision, and Data Science. I create free content in order to help more people get into those fields. If you have any questions, feedback, or comments, just shoot me a message! I am happy to talk to you :) If you like my content, please subscribe to the channel! Please check out my website for more information: https://www.python-engineer.com If you find these videos useful and would like to support my work you can find me on Patreon: https://www.patreon.com/patrickloeber Legal: https://www.python-engineer.com/legal-notice/ ",2019-05-03T11:22:33Z,,,24208231,289000,207,https://yt3.ggpht.com/MtAplIas7mSTWrQwKxSEM9NNVaZNzIhXhVsMADkkz0Rz6wcpC2pEpkp3RqPn6N9Lvv1F9Ymm=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
