position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UCwAa6VoM1GCg7n4s3u9FTAg,"Programação Web","Seja muito bem-vindo(a) ao canal Programação Web. Aprenda programação web de uma forma divertida e didática junto com o professor Dimitri. Saiba mais sobre HTML, CSS, Javascript, PHP, NodeJS , entre outras tecnologias. Se torne um desenvolvedor web completo, desde o Front-end até o Back-end, com tutoriais e projetos práticos de programação web. Nunca foi tão fácil aprender programação web! Descubra como a Programação Web vai te habilitar criar sites, aplicativos e sistemas incríveis. Se inscreva no canal e acompanhe nossos vídeos! ",2021-09-01T23:39:40.235944Z,,BR,7036261,107000,395,https://yt3.ggpht.com/FLhREAxlFj0XJ7sFMmxg_WV55m0KfMbgzOmAMCnvxpfLf5NFvokN7Rvq6F0Udt-hH54ga-bstA=s800-c-k-c0x00ffffff-no-rj,"html|css|javascript|php|nodejs|programação web|programacao web|programação de computadores|programação web curso|desenvolvimento web|desenvolvimento web full stack|desenvolvimento de web|programação web para iniciantes|programação web do zero|programação web php|programação web html|curso programação web|html para iniciantes|web developer|desenvolvedor de site|programação de sites|programação de aplicativos|desenvolvimento de aplicativos|criar aplicativos","Lifestyle (parent topic)|Technology|Knowledge"
2,UCQx5WiKWT-4Vek8QKHzz0pQ,"Programação em Ação","Programe melhor! ",2023-02-06T23:32:22.036772Z,,,50125,650,49,https://yt3.ggpht.com/vFeAHDW5fGmvXoRSsrjMbflNdW9iJ3TATwI1wDnhIbTWvtF1qMK00f7h4IWuwkBoWAE53XIhXA=s800-c-k-c0x00ffffff-no-rj,,"Gaming (parent topic)|Technology|Knowledge|Lifestyle (parent topic)"
3,UC70mr11REaCqgKke7DPJoLg,"Programação Dinâmica","Somos Kizzy e Hallison, parceiros na vida e nos negócios e temos uma missão: ajudar mais pessoas a terem acesso a educação de qualidade, a desenvolverem autonomia e pensamento crítico e experimentarem uma mudança de perspectiva para usufruir de mais oportunidades. Hoje, Kizzy é uma cientista de dados e Hallison, doutorando no Instituto de Matemática Pura e Aplicada. Viemos de extremos diferentes do país e nos encontramos no Rio de Janeiro, no Instituto Militar de Engenharia, onde nos tornamos engenheiros de computação. Seguimos com um mestrado em matemática por instituições de excelência e entendemos que poderíamos retribuir as oportunidades que tivemos de uma maneira mais ampla para todo o Brasil. Por isso, criamos o Programação Dinâmica, onde ensinamos sobre programação, ciência de dados, machine learning e inteligência artificial e promovemos discussões sobre novas tecnologias e seus impactos na sociedade. Inscreva-se no canal e junte-se a essa jornada de transformação! ",2016-05-27T01:07:39Z,,BR,8411831,229000,692,https://yt3.ggpht.com/ytc/AIdro_lNaZXEMQi5BwwiSLGg43lJg4DFqKphdxylYeRBUREufg=s800-c-k-c0x00ffffff-no-rj,"Programação|python|pesquisa|algoritmos|julia|ia|análise de dados|aprender a programar|aprender python|data science|análise de dados em python|machine learning|ciência e tecnologia|deep learning|inteligência artificial|ciência de dados|programação científica|matemática para computação|ciência da computação|engenharia de computação|programadores negros|mulher programadora|ciência de dados|matemática para programação|estrutura de dados|lógica de programação","Technology|Knowledge|Society (parent topic)|Lifestyle (parent topic)"
4,UC-dRoABm-_rKxZG9m4wzR8w,"Curso de tecnologia e programação","curso de programacao Curso de java Curso de Csharp Curso de Access Curso de excel vba Curso de delphi Curso de python Curso de visual basic Curso de IOS Curso de Android Curso de Swift Curso de Ruby Curso de Java Script Curso de Golang Curso de C++ Curso de C Curso de PHP Curso de Mysq Curso de HTML Curso de CSS Curso de SQL Curso de TYPESCRIPT Curso de GO Curso de ASSEMBLY Curso de OBJECTIVE-C Curso de VB.NET Curso de R Curso de MATLAB Curso de SCALA Curso de LUA Curso de SHELL Curso de PERL Curso de KOTLIN Cursos de java Cursos de Csharp Cursos de Access Cursos de excel vba Cursos de delphi Cursos de python Cursos de visual basic Cursos de IOS Cursos de Android Cursos de Swift Cursos de Ruby Cursos de Java Script Cursos de Golang Cursos de C++ Cursos de C Cursos de PHP Cursos de Mysq Cursos de HTML Cursos de CSS Cursos de SQL Cursos de TYPESCRIPT Cursos de GO Cursos de ASSEMBLY Cursos de OBJECTIVE-C Cursos de VB.NET Cursos de MATLAB Cursos de KOTLIN sangiorgiovba@gmail.com",2017-02-25T01:47:45Z,,BR,2243806,22400,1603,https://yt3.ggpht.com/GOrkUKjF5_ju2NQTIaGH0PJvXfxFBr6afs46JIxrUihZdm2oXGUdJiIj0imBcPhjn7ldECK21w=s800-c-k-c0x00ffffff-no-rj,"HTML|CSS|JavaScript|Python|front-end|back-end|tecnologia|curso de programação|curso de tecnologia|aprender programação|programação para iniciantes|desenvolvimento web|lógica de programação|programação do zero|programação web|curso online gratuito|programador iniciante|estudar programação|carreira em TI|linguagem de programação|curso de TI|aprender a programar","Knowledge|Technology|Lifestyle (parent topic)"
5,UCafFexaRoRylOKdzGBU6Pgg,"Hashtag Programação","Bem-vindo ao canal Hashtag Programação! Se você quer dominar as linguagens de programação mais requisitadas no mercado, está no lugar certo. Aqui, ensinamos Python, JavaScript, HTML, CSS, SQL e Ciência de Dados, desde o básico até o avançado, com uma abordagem prática e direta ao ponto. Nosso objetivo é capacitar você com as habilidades necessárias para enfrentar os desafios do mercado de tecnologia. Acreditamos que a melhor forma de aprender a programar é colocando a mão na massa, e é isso que nossos tutoriais e cursos oferecem: conhecimento aplicável que você pode usar imediatamente em seus projetos. Além dos conteúdos didáticos, nosso canal é uma comunidade vibrante onde programadores de todos os níveis compartilham suas experiências, tiram dúvidas e crescem juntos. Se você quer se destacar como desenvolvedor, inscreva-se no canal e ative as notificações para ficar por dentro de todas as novidades! ",2020-10-19T13:14:14.581427Z,,BR,42425971,701000,1543,https://yt3.ggpht.com/n5GUY-L5kuEeNCdK5g0FiVbhoAHQJxAI-3xxvPIm1Qb2zjfRHrqNp6dakUwKGZUfBiyBrWqJPW4=s800-c-k-c0x00ffffff-no-rj,"Python|Programação|Inteligência Artifical|Ciência de Dados","Lifestyle (parent topic)|Knowledge|Technology"
6,UCHIfHMZtqccRSw0JvV3DQgw,"Manual da Programação","Aqui no manual da programação, ensino você a programar em java, de forma clara e objetiva. Se você é iniciante em programação e tem dificuldades de aprender orientação a objetos, ou programação java, se inscreva no canal para aprender a programar de uma vez por todas, e fazer com que a sua carreira de programador decole. O mercado precisa de programadores capacitados, e aprender da forma correta a programar orientado e objetos em java, vai fazer com que você se destaque dos demais programadores de computador, fazendo com que você possa trabalhar com algo altamente rentável e o melhor de tudo, trabalhar com programação que é algo que você gosta. Não basta saber programar, é necessário fazer isso da forma correta. E com os conteúdos semanais do canal, você vai conseguir aprender programação orientada a objetos da melhor maneira que você vai encontrar aqui no Youtube. Os vídeos e assuntos postados no canal relacionados a programação são pensados para te ajudar a crescer! ",2019-02-06T16:59:15Z,,BR,547552,13000,169,https://yt3.ggpht.com/bjE2WNRG2pLRBJQu6w3vJqft_7LzRp3PeWpp2v8zhfecEu5vXV0oXChK7klhI_7cZRRFruZCKQ=s800-c-k-c0x00ffffff-no-rj,"curso de java|aprender java|orientação a objetos|programação java|manual da programação|paulo balmer|como aprender java|aprender a programar em java|orientação a objetos em java|curso de java fácil|melhor curso de java|java para iniciantes|como aprender a programar|programação para iniciantes|iniciando na programação|programação de computadores java|melhor curso de java|aprender java rápido|qual a melhor linguagem de programação|o que é java","Lifestyle (parent topic)|Knowledge|Technology"
7,UC5xuGX6JurlFWhnxCilKhDQ,"Popularizando o Mundo da Programação","Olá, sejam muito bem vindos e bem vindas ao canal Popularizando o mundo da programação (antigo canal Prof. RMuniz). Este canal tem como objetivo a divulgação científica de conteúdos relacionados aos seguintes temas: Portugol, Algoritmo, Lógica de Programação, Python, Banco de dados com Mysql e Estrutura de Dados . Sou Rafael Muniz, professor do Instituto Federal nas cadeiras de algoritmo, lógica e estrutura de dados. Nos vídeos utilizo a linguagem de programação C e a pseudolinguagem Portugol. Ainda são utilizadas as ferramentas DevC++ (para linguagem C), Visual Code (Pyhton), Mysql Workbench (para mysql), Portugol Studio e o site portugol.dev (para Portugol). Outras áreas de pesquisa e interesse: Ensino de lógica de programação | Pensamento Computacional | PLN Obrigado e bons estudos. ",2017-04-28T19:01:50Z,,BR,1531788,16600,132,https://yt3.ggpht.com/lQougfMsmOVm2fLwgFHIwd7zuv7-i-f7tWsVVEpXzghPUJd4_-ES4l-VVH3YC-a3a9M5W643DQ=s800-c-k-c0x00ffffff-no-rj,"Portugol|logica|algoritmo|Pseudocódigo|vetor|árvore|ordenação|Lógica de programação|Portugol Studio|iniciando na programação|portugues estruturado|comando se|comando para|comando enquanto|Aprendendo programação|Aprendendo a programar|Programação de computadores|algoritmo e lógica de programação|estrutura de dados|bubble sort|insert sort|merge sort","Lifestyle (parent topic)|Knowledge|Technology"
8,UC52Gjs0g0eVym61SsJbnTjw,"Programação Plena","C#, VB.Net, ASP Net, Javascript, MySql, SqlServer, Access, SQLite. Web, Descktop, Mobile, Backend e .",2020-06-01T20:37:18.795749Z,,BR,1131795,8340,858,https://yt3.ggpht.com/ytc/AIdro_kPTTYcPnCEC5K6v97yeI401y1XG18JtzYbejOMOokC1Q=s800-c-k-c0x00ffffff-no-rj,"c#|mysql|VB.Net|SQLite|Programação de computador|visual studio|C Sharp|Visual Basic|SQL Server","Technology|Knowledge|Lifestyle (parent topic)"
9,UClcegOkJsWbla_9X7odCL9g,"Tutoriais de Programação","Apresentação de tutoriais de programação. Os principais temas abordados são programação web e aprendizado de máquina. ",2020-09-24T13:45:36.656288Z,,BR,28290,410,91,https://yt3.ggpht.com/ytc/AIdro_mn4ffV5ohH_6UZ4KHwM_qNJTwS13MCikrTFs8T3o9d=s800-c-k-c0x00ffffff-no-rj,"programação web|inteligência artificial|aprendizado de máquina","Lifestyle (parent topic)|Knowledge|Technology"
10,UCGXiaSPSmORM_4_b05kfMlg,"Dev em Dobro | Programação","Nesse canal eu, Ricardo, e meu irmão Roberto, te damos dicas de como aprender desenvolvimento web do zero para que você entre mais rápido e com qualidade na área que mais cresce no mundo, a de tecnologia! Além da parte técnica damos dicas de como se destacar nas entrevistas e aumentar suas chances de conseguir sua primeira vaga na área. Não quer seguir carreira dentro de empresas, mas gosta de programar? Tá tudo bem! Aprender a programar também te dá a oportunidade de ganhar dinheiro trabalhando de casa como freelancer ou criando seu próprio negócio! 🛡️Participe da comunidade para programadores iniciantes e aspirantes, a Guilda Dev em Dobro: - Servidor no Discord: https://devemdobro.com/comunidade-dev-em-dobro ",2021-01-26T18:48:05.181411Z,,BR,3798342,144000,1148,https://yt3.ggpht.com/NUPR90viiLCQ8DsXKmeN1WkW9Hm5WywvjTIJOtOOqjrICWi-N6OVWvA87KyNY6Keo7GJBS2LHg=s800-c-k-c0x00ffffff-no-rj,"devemdobro|tecnologia|programação|TI|desenvolvedor|dev|!Hjaˆ42|FrontEnd|Programador|Tecnologia|CSS|javascript|frontend|Linguagem Programação|Video Aulas|dicas programação|programador júnior|dúvidas programação|emprego ti sem faculdade|como virar um desenvolvedor frontend|dificuldades desenvolvedor iniciante|curso programação|aprender a programar|programador junior|programador estagiário|desenvolvedor iniciante|desenvolvedor junior|faculdade ads","Lifestyle (parent topic)|Knowledge|Technology"
