position,id,title,description,publishedAt,defaultLanguage,country,viewCount,subscriberCount,videoCount,thumbnail,keywords,topicDetails
1,UCTVGjydBHM2g5_K18MZqE4Q,"Programming in Python","Official channel for the introductory course ""Programming in Python"" offered as a part of the BS degree at IIT Madras.",2022-09-11T07:34:04.314995Z,,,461524,18100,550,https://yt3.ggpht.com/2_drb8QvAf_P9AiYEXs_0fZUdKRpbYo2ed4B6w8iC3q4C8Z3L0mUwJClh1Npa41InSEJ_YUfegw=s800-c-k-c0x00ffffff-no-rj,,"Technology|Knowledge|Lifestyle (parent topic)"
2,UCWv7vMbMWH4-V0ZXdmDpPBA,"Programming with Mosh","Hi! I'm Mosh 👋, a software engineer with over 20 years of experience. I'm all about clear, concise, practical coding tutorials – no fluff, just the good stuff! My courses focus on real-world projects and the skills that will get you hired. I've helped millions of students transform their careers. Want to level up your skills? Subscribe and hit the bell to get notified when I upload new videos! For sponsorships: partners@codewithmosh.com ",2014-10-07T00:40:53Z,,US,259881367,4910000,243,https://yt3.ggpht.com/HCv0fXFEEcD0HRyF0_qR1K7b7qO3KCzmIoyH1DEJYB94CIUFhIE5i2t2IDIPX97W1-DK4hegww=s800-c-k-c0x00ffffff-no-rj,python|javascript|react|node|angular|programming|coding|.net|asp.net|csharp|java|typescript|mysql|html|css|sql|django|docker|next.js,"Knowledge|Technology|Lifestyle (parent topic)"
3,UCfJyQ3P2k_SuqfxVdqIEQNw,"R Programming 101","This channel provides teaching videos on data analysis and statistical analysis using R programming. The teaching videos include subjects like data cleaning, data manipulation, data visualization, statistical analysis, and machine learning and AI (artificial intelligence). This channel's content incudes both R programming for beginners and advanced data analysis and visualization. ",2018-10-31T11:42:22Z,,IE,7782323,141000,230,https://yt3.ggpht.com/yUgd5DgCWc7LMwkcv8Mjox6ugKE-sbYf7XkMD0Gds3_L3_aE-nlF-_JEVuFEs7ZTu3ySwUxjMA=s800-c-k-c0x00ffffff-no-rj,"statistics|stats|quantitative|data|ggplot|research|ggplot2|coding|R Programming|data science|r programming for beginners|R programming for beginners|data visualization","Technology|Knowledge|Lifestyle (parent topic)"
4,UCpKb02FsH4WH4X_2xhIoJ1A,"The Audio Programmer","This channel was created for anyone that is curious about audio programming, digital signal processing (dsp) and creative coding- from the very basic concepts with no previous programming knowledge all the way up to building your own software instruments and applications. We also hold regular meetups with audio developers across the industry who present their ideas on audio programming as well as views on the industry. Join our Audio Programmer Community: https://theaudioprogrammer.com/community Find out about our services: https://theaudioprogrammer.com/services ",2017-05-05T04:20:47Z,,,2743343,45600,610,https://yt3.ggpht.com/f07Ha2nwGwPTEyYt0oyNtvl6GrwCAoaI2AZSdgO2q-tYvWjH_YDXBa81o6wwUK6py9anL2Aq=s800-c-k-c0x00ffffff-no-rj,"audio|programming|creative|software|development|dsp|max|msp|c++|processing|openFrameworks|juce|filter|build|synthesizer|vst|juce framework|digital signal processing|audio programming|software development|software engineering|creative computing","Lifestyle (parent topic)|Technology|Knowledge"
5,UCl3tJFKsFrw2p_Wxf1YDSow,"Programming Live with Larry","Larry was a former red Topcoder, a Google Code Jam finalist, Top 100 on Advent of Code, as well as a top 50 Leetcoder. Watch him solve, explain, and analyze problems both as an interviewer and an interviewee - as he has interviewed over 500 candidates. Join him on twitch and solve problems alongside him!",2019-04-18T03:00:49Z,,US,3062878,67700,5149,https://yt3.ggpht.com/ytc/AIdro_ndbmTZwFuC12hvjZe36Y7ljTvI5D7S9KFSanq-xlnTxQ=s800-c-k-c0x00ffffff-no-rj,"google|leetcode|programming|programming interview","Technology|Knowledge|Lifestyle (parent topic)"
6,UCq5Gm4jfNGRXvUTOw9d2Zzw,"Programming Make Sense","👋 Let's Connect We provide Official WhatsApp API solutions and consultation services. Looking to build apps, websites, or integrate the Official WhatsApp API? Click the LinkedIn URL to connect with us. ",2021-04-26T03:51:09.428864Z,,LK,1601428,10100,99,https://yt3.ggpht.com/VrE2fddIzZ0WzsVs46XV79R7Rfy7Y3HVSajnIUFqArOcqG_wF18kDtDWkEg2ALs1fSTr2rXO3Fw=s800-c-k-c0x00ffffff-no-rj,programming|make|sence|programmingmakesence|mobile|mobiledevelopment|ios|android|moodle|api|moodlehosting|swift|nodejs|java|cloudcluster|stackoverlow|debugging|debug|firebase|firebasedatabse|google|tutorial|coding|software|softwareengineer|game|androidgamedev|education|it|computerscience|csc|computer|science|apiimplementation|realtimedatabase|whatsappcloudapi|facebookapi|whatsappapi|cloudapi|setupcloudapi|meta|metaapi|chatgpt|keyboard|programmingmakesense|whatsappflow|flow|flows|cloudapiflow,"Lifestyle (parent topic)|Technology|Knowledge"
7,UC2rO9hEjJkjqzktvtj0ggNQ,"Programming Chaos","Hone your programming skills with fun, interesting programming projects! In these videos I walk through creating short, interesting programming projects such as procedural generation, artificial life simulations, and more - mostly in Java using Processing. I focus on programming basics, including problem solving, using procedural generations, a bit of AI, and, of course, some chaos. Each of the videos cover the basic project, you should expand on them with your own additions, ideas, and creations. And, if you come up with anything interesting, please share a link in the comments for the video. ",2011-10-18T23:04:40Z,,US,225812,8270,56,https://yt3.ggpht.com/QxmuY1PQqFHAVHEvF6Wf3F0ceSkw0LMHFTQRsPU-dYyshSYmr-uG-L6qFg-d4ZMsYUJf4dnNLSM=s800-c-k-c0x00ffffff-no-rj,"Programming|Tutorials|Java|Processing|fractals|recursion|evolution|soule|Procedural Generation|Computer Science|particle life","Technology|Knowledge|Lifestyle (parent topic)"
8,UCStj-ORBZ7TGK1FwtGAUgbQ,"Programming Hero","Learning is boring? Not any more. Programming is frustrating? No longer. Go watch any of our videos and you'll start having a romantic perspective on programming. ""Coding Just Got Fun With Programming Hero!"" — Every Aspiring Programmer 😎 Stay tuned every week for fun, cool, and exciting programming tutorials, tips & tricks, advice & suggestion videos right onto your lap with hot Grandma. ❤️ (Hidden Message: We get beaten if we don't get nice subscribers even after eye-shattering views) Save us from Grandma by subscribing to this channel if you enjoyed even one video. 😁 Hit us with any kind of query on our Discord server (link below) and if needed we'll cut the call with our significant other to reply to you. Regards, Grandma's First GrandKids 😉 ",2019-04-13T16:32:45Z,,US,11147353,319000,52,https://yt3.ggpht.com/PrG2FnV2yGOmoTXeXu6LDiaHgC9pSndBOORhGxBJnUWoRcKTuz0JGZYmGCA8OCUMkndvTdoJ3jU=s800-c-k-c0x00ffffff-no-rj,"Programming|coding|python|programming tutorial|programming hacks|programming for beginners|learn programming|how to learn programming|getting started with programming|programming hero|python tutorial|python hack|python for beginners|python project|python projects|learn python|python tips|python tricks|python expert|explore python|machine learning|data science for beginners","Knowledge|Technology|Lifestyle (parent topic)"
9,UCMN0a7GHQnC6H74SmCGSmdw,"You Suck at Programming","The Free Bash Course is live! watch it here: https://course.ysap.sh i talk about sys admin stuff, bash scripting, programming, unix, and roast your CRINGE code lmao ",2022-12-14T07:47:18.229944Z,,US,7721304,74300,1104,https://yt3.ggpht.com/77VBDIN3W0-5btAM18hPaW4tZaT6_KNF_JNk9CRcYIBrle91eIXcf2zfJRfPtDSdjTGHkEngVg=s800-c-k-c0x00ffffff-no-rj,bash|programming|devops|tech|linux|unix|cli,"Lifestyle (parent topic)|Gaming (parent topic)|Technology|Knowledge"
10,UCbGiBKf2rhQRPCxozh996Yg,"Life On The Code | Web Dev & Programming","Welcome to Lifeonthecode – your ultimate source for MERN stack development tutorials, JavaScript tips, React projects, and full-stack web development in English. 🎯 Learn HTML, CSS, JavaScript, React, Node.js, MongoDB, Express.js and more through step-by-step tutorials. 📌 Subscribe now to become a professional web developer! ",2023-06-25T07:02:26.141056Z,,IN,104165,1120,347,https://yt3.ggpht.com/JS532flYv-G_3FamJgPZ4Hw3YTBww0UOOoI_CCB_IfOkZMnJJlGnM-dYDlGkU8_Ek5o7moBL=s800-c-k-c0x00ffffff-no-rj,"LifeOnTheCode|HTML|Easy Tutorials|Website Design|web design tutorials|html tutorials|css tutorials|html and css tutorials|ui design|ui/ux design|html and css|html u0026 css|beginners tutorials|full stack project|full stack projects for beginners|react projects for beginners|mern stack project|mern stack project for placement|full stack website project|programming tutorials","Lifestyle (parent topic)|Technology|Knowledge"
11,UCcfbPPPj17MGMYmDCxq0BZA,"Programming Master","Programming Tutorials and lectures! All programming languages courses tutorials are freely available here, I created this channel to Upload tutorials of different Programming Languages to students and people who search online for tutorial to learn Programming I think It would be One of the most famous learning place for programmers in Future. I will do my best to teach you each and everything you need to know to get Started . C Programming, C++ Programming, C# Programming, Java Programming, Python Programming, Php Programming, Golang Programming, Ruby Programming, Web developing, which include Html, CSS, JavaScript, Saas and Sacs. now I will upload Advance courses of each of these Programming languages, Please Subscribe to My channel and Keep watching my videos to support Me. Thank You!",2020-04-03T14:26:41.638907Z,,PK,286954,3730,398,https://yt3.ggpht.com/eTENwZ_eqwFIDzv4g0s6II10Z2hewk3YaxXUQ6hUuwkqSakv50rdfplxiCJzY03HJ-egZ_eIxJ0=s800-c-k-c0x00ffffff-no-rj,"programming|tutorial|python|freecodecamp|freecodecamp.org|javaScript|java|c#|coding|learn|development|Programming Master|programming tutorial|computer science|learn programming|programming basics|master programming|coding master|mike dane|code with harry|html css|python tutorial|programming exercises|Programming courses|programing master|c++ programming|java programming|programming tutorials|learn programming|c programming tutorial|c++ programming tutorial","Technology|Knowledge|Lifestyle (parent topic)"
12,UC3ivOTE5EgpmF2DHLBmWIWg,"Programming With Nick","Unlock Your Coding Potential - Join Our Channel to Learn Code! Welcome to Programming with Nick, the go-to channel for aspiring coders! Join me for beginner-friendly tutorials and unlock your coding potential. Top 5 Reasons to Learn Coding: Imagine Anything: Code brings your ideas to life, letting you create anything you can imagine! Future-Proof Your Career: As a programmer, you can make a living doing what you love and enjoy endless job opportunities. Fun and Addictive: Coding is like a thrilling puzzle game that challenges your mind and keeps you hooked. Master Problem-Solving: Coding builds problem-solving skills, helping you tackle real-world challenges with confidence. Change the World: With code, you can make a positive impact by creating innovative solutions to global issues. Ready to dive into the exciting world of coding? Let's get started with Programming with Nick! ",2013-09-13T21:22:29Z,,GR,1334511,15900,70,https://yt3.ggpht.com/bDRXOJmxIqwhk9nRDplsLF7UDJ2kHQzuq7aD5vDVv4Oj9QKR8b30WBSUDfJLNcvxtSk2vir7VQ=s800-c-k-c0x00ffffff-no-rj,"python|c++|cpp|raylib|simulation|tutorial|easy|advance|pygame|game programming|game development|c programming|for beginners|snake game|python games","Lifestyle (parent topic)|Knowledge|Technology"
13,UCxuaFyfxi-g8va1AgzvUsBg,"Programming For Beginners","Hi, My name is Abhilash and I post videos related to Programming for beginners. We will learn many programming languages and technologies including Java, HTML, CSS, JavaScript, Python along with their frameworks in easy way with real examples. Also we will see automation testing using selenium. For Assignments / Projects you can contact me via Email: Email ID: team.rrrapps@gmail.com SUBSCRIBE for more videos. COMMENT on my videos in case you want videos on any specific programming language or framework to be explored. We might move to more programming languages with time, so Stay tuned :) Finally, remember that ""Practice will make you Perfect"". So Practice along with Programming for Beginners! ",2017-02-11T06:16:28Z,,IN,2395216,24100,736,https://yt3.ggpht.com/ytc/AIdro_k71kIn_AScVK3rDGlyatvJbrQOGxKIDjKlKMzfPsjLBjM=s800-c-k-c0x00ffffff-no-rj,"programming|coding|programming for beginners|java tutorial|java programs|learn to code|python tutorial|python programs|html tutorial|web development|software development|dart tutorial|learn java|learn python","Technology|Knowledge|Lifestyle (parent topic)"
14,UCKeLOvm9DiyQFkhHSGjoEeA,"Lost In Programming","Java Tutorial, C++ Tutorial and more. It is going to cover up the basic concepts of programming languages as well as advanced concepts of programming. Video tutorials on Learn Java Programming, Learn C++ Programming, Learn C programming and more. It is useful for absolute beginner and also for viewers who belong to Computer Science and Programming field.",2016-06-07T05:06:41Z,,IN,183096,1390,76,https://yt3.ggpht.com/ytc/AIdro_mor__76lu7RZfQJlz2pZFx1EhZoWt6OAw1ioYI6DfNjg=s800-c-k-c0x00ffffff-no-rj,"Java|C++|MySQL|Python|Video Tutorials|How to learn Programming|MySQL Installation|Install Java","Lifestyle (parent topic)|Knowledge|Technology"
15,UCItTNvcjpPzzMi92VRq3zNw,"Quick Programming","Learn web design and development in PHP, HTML, CSS, AJAX and associated technologies",2016-12-18T16:54:57Z,,US,6483332,41800,1700,https://yt3.ggpht.com/_jAJWxLdXhmJFcAkungXSsreIhPjbEZQPXzzll2h9-irvBZvB_8udC7_aa4GXn_Bz9Zko96NQw=s800-c-k-c0x00ffffff-no-rj,"Web|Design|Programming|Tutorials|PHP|HTML|CSS|coding|Javascript|ajax|API|beginner|learn to code","Knowledge|Technology|Lifestyle (parent topic)"
16,UCfRoKBBToKjXolFYSDe7Y7g,"High-Performance Programming","My name is Lucian Oprea and I’m a software engineer from Romania with a strong background in computer science and with more than 10 years of professional experience. I created this channel to share knowledge and teach developers in the way I wish I had been taught, while learning alongside them. I focus on simplifying complex topics like Distributed Systems, System Design, and High-Performance Applications into clear, approachable lessons. I hope this journey helps both myself and others grow as developers. 🚀 ",2020-02-17T11:53:03.460173Z,,RO,2266923,59400,56,https://yt3.ggpht.com/thVtEVSq-h92GMkoljtSgKAQ2cBg4884it2Tvq0F6gQPtuwXrY7iC5NdOc8YuzJ6EVlA4GByhw=s800-c-k-c0x00ffffff-no-rj,,"Knowledge|Technology|Lifestyle (parent topic)"
17,UCkSqAEgVRpwb5KZeuMr9AZA,"Programming Experience","जय श्री राधे कृष्णा 🙏, Welcome to the Programming Experience! This channel is dedicated to providing practical learning and solutions for web development programming. Whether you're a beginner or an experienced developer, you'll find tutorials, walkthroughs, and troubleshooting tips to enhance your programming skills. If you have any questions or inquiries, feel free to reach out to me by below mail. Contact Email:- sandeepdevelopercontact@gmail.com Source Code:- https://sandeepdeveloper.com/code ",2021-10-18T19:59:48.534819Z,,IN,4637370,18700,1316,https://yt3.ggpht.com/clYwxD8jGzDEYC_gMXYub2R2lSJuWzbGmBgLI7Lw2Ood4i--HdnYE3UuN0dyxCp4IFiK5Ga06Q=s800-c-k-c0x00ffffff-no-rj,"#ProgrammingExperience|#programmingexperience|programmingexperience|#experienceprogramming|experienceprogramming|#Programmingexperience|programmingexperience|programming|#programming|#experienceprogramming|development|node|Programming Experience|programming experience|experience programming|#programming experience|web development|mern stack development|mean stack development|programming experience tutorials|laravel development|full stack development|programming development","Lifestyle (parent topic)|Technology|Knowledge"
18,UCcDGsN3JxMavDkM9INRLGFA,"Paul Programming","This channel provides helpful computer programming tutorials.",2012-12-12T08:00:36Z,,US,9146799,83900,81,https://yt3.ggpht.com/ytc/AIdro_lFFTwRvmjJxWsdGhi_Y03jZR5zlai_0rGNeRgLefJs=s800-c-k-c0x00ffffff-no-rj,programming|computer|science|c++|tutorial|help,"Technology|Knowledge|Lifestyle (parent topic)"
19,UCw2zv1zmT5ak5olBgB7IqmA,"Gamemaker Game Programming Course","A collection of some popular topics that I teach to high school and college students. The videos here are used in various courses that I teach. I originally made the videos for students that want to review or for those that miss class (for legit and illegitimate reasons). The videos ARE PART OF COURSES and there are lessons and resources that guide you through them. Follow the lessons if your goal is to actually learn the topic well. Here are the course links: AP Computer Science (Java): http://www.atomictoddler.com GameMaker Game Programming Course: http://gameprogrammingcourse.com Photoshop, 3d Modelling & Animation, Access, Excel, Digital Communications, etc: http://www.mycourses.northvikings.ca Any comments on videos are appreciated and please give thumbs up to videos or subscribe if you feel like the videos helped you out! And keep an eye out for live streams closer to AP Exam time in May! John Vancouver, Canada",2014-01-08T02:48:55Z,,CA,3525161,11600,543,https://yt3.ggpht.com/ytc/AIdro_nBwMHmb8PBW29f9PmGEnJQ7sbL46W2r9aQMaGYMovRYQ=s800-c-k-c0x00ffffff-no-rj,"Gamemaker|tutorials|java|programming|blender|lessons|gms|gms2|java|apcs|ap|ap computer science|how to|blender how to|Gamemaker Studio|3d model|blender 2|blender 2.8|ap computer science|computer science ap|java programming|ap comp sci|comp sci|java lessons|java tutorial","Technology|Knowledge|Lifestyle (parent topic)"
20,UCFMYwBZ-eMf-HVQu3C2nyzA,"Peachez Programming","Learn programming and laugh at memes",2015-04-30T19:41:51Z,,US,547094,15200,230,https://yt3.ggpht.com/InPdWASLfxuDgYV6oS1pJD3CjF98xvGJMlZiIT41HLpjxn3Y9MFJkOeeJqOA-dTzvi5c2zNdFQ=s800-c-k-c0x00ffffff-no-rj,"programming|java|spring|jpa|jdbc|jwt|spring boot|spring security|dependency injection|web development","Lifestyle (parent topic)|Knowledge|Technology"
21,UCDGAg1pqcy8IScMqHHTy9Gg,"Programming Electronics Academy","Want to build confidence programming your electronics project? You're in the right place! At Programming Electronics Academy we are all about teaching programming and electronics with Arduino and other popular tools for prototyping your awesome ideas. We understand you might be new to programming so we strive to keep our tutorials simple without watering them down. Here you'll find videos that cover Arduino programming, hardware, common questions, and detailed walk throughs. Subscribe now, and start mapping out your Arduino training today! We release new tutorial twice a month, and have a weekly live show that dives into Arduino programming every Friday at 10AM EST. ",2012-06-29T01:53:53Z,,US,17970059,271000,509,https://yt3.ggpht.com/ytc/AIdro_lNmOm6wLFjVRXlpLqQPtpXpWgT_OUnxfKbHwe9LpDjV2A=s800-c-k-c0x00ffffff-no-rj,"C++|electronics|programming|DIY|tinkering|automation|esp8266|esp32|espnow|Arduino|c|mega|Arduino lessons|Arduino course|arduino tutorial|Arduino for beginners|Arduino course for absolute beginners|Arduino Functions|Arduino Sketch|Arduino programming|arduino uno|arduino projects|what is arduino|arduino software|arduino programming language|beginner programming|serial monitor|Arduino Projects|Electronics Projects|Beginner Arduino Projects|learn programming","Knowledge|Technology|Lifestyle (parent topic)"
22,UC30Yv18b8FKyEBojhI5-rXw,"Programming with Amrit","🚀 Welcome to the Channel! 🚀 Ready to master coding, web development, and software engineering? You've come to the right place! 🎯 On this channel, I share hands-on tutorials, coding tips, and real-world projects to help you become a pro developer. Whether you're a beginner or looking to enhance your skills, you'll find content on: ✅ Full-Stack Development ✅ Web & App Development ✅ Programming Fundamentals ✅ Real-World Projects & Tutorials Join our community of passionate learners and start your coding journey today! 💻🔥 📌 Subscribe now and let’s build something amazing together! ",2020-08-30T09:57:56.844053Z,,IN,240014,3640,135,https://yt3.ggpht.com/lIy0tll-C3m_WBsZ9ir_4yAMubDa6BoQQsUkb_PczjK7k6YBf69SNL14QzBkGNaVvI6NeegKWeg=s800-c-k-c0x00ffffff-no-rj,#webdevelopment|#webdesign|#webdesigner|#html|#css|#css3|#javascript|#js|#web|#website|#mern|#mernstack|#fullstackdevelopment|#frontend|#backend|#websitedevelopment|#reactjs|#nodejs|#Mongodb|#nosql|#projectvideos|#tutorials|interview|mern|webdeve|webdev|webdevelopment|website|mernstack|frontend|backend|fullstack|react|nodejs|reactjs|expressjs|mongodb|javascript,"Technology|Knowledge|Lifestyle (parent topic)"
23,UCDWA2wsU25M-6SZ13p7fBRQ,"Get With The Programming","An in-depth analysis of the Programming in the CrossFit Games landscape including the Worldwide Qualifiers, Age Group Online Qualifiers, Sanctioned Event, the Open, and the CrossFit Games. We will also sit down with the Individual Programmers from all over the World to talk to them about their Programming Philosophies and the Systems they use for their individual athletes or gyms. Find our videos here but you can also download the audio versions of the podcasts at ALL the places you get your podcasts! Spotify, Google Store, iTunes, etc",2020-05-18T04:29:58.531356Z,,US,763046,5820,431,https://yt3.ggpht.com/PuOs6Zi-0QBG4hCv0OiA-zrwn0FRPFDXM0UXEygvQuRpsB129OsTg2uFUbDcGb3hSxKfq-kqWy0=s800-c-k-c0x00ffffff-no-rj,"crossfit|fitness|sports|programming|podcast|fitness|affiliates|gym|workout|crossfit games|get with the programming|chase ingraham|bill grundler|get with the programming podcast|crossfit training|crossfit journal|crossfit gym|working out","Health|Fitness|Lifestyle (parent topic)"
24,UCuNgscZOhREn2TrZrLqHsvA,"Eric Programming","Welcome to Eric Programming! This is the official second channel of @ericwtech, dedicated to helping you master the fundamentals of computer science. Here, we dive deep into: • Leetcode Problems (Step-by-step solutions) • Data Structures & Algorithms • Core Computer Science Theory My goal is to give you the skills and confidence to ace your technical interviews and level up as an engineer. Subscribe to start learning! ",2020-02-26T07:38:37.777706Z,,CA,982507,12500,210,https://yt3.ggpht.com/b6vERifdl4fz6sdR-QPHudF_95yKATPG6zZKtUZ-gudCjmYgRRKWGnM0f8opX-iIYmVUsHu3YQ=s800-c-k-c0x00ffffff-no-rj,"algorithm|java|leetcode|neetcode|sql|Eric programming|data structure|learn coding|computer science","Lifestyle (parent topic)|Knowledge|Technology"
