id,title,arroba,description,keywords,url
UCBbMl4vZDvArxHrWoPtg_cw,SatellaSoft,@SatellaSoft,"Fala, Dev! 👋 Desde 2009, a SatellaSoft compartilha conhecimento em Desenvolvimento, Cloud e Arquitetura de Software. Tutoriais práticos com AWS, PHP, Laravel, HTML, CSS, Unity e Blender.",Tecnologia|programação|games|desenvolvimento|modelagem|design|noticias|desenvolvimento de sites|desenvolvimento de games|desenvolvimento de softwares|programação web|cursos free|cursos tecnologia,https://www.youtube.com/channel/UCBbMl4vZDvArxHrWoPtg_cw
UCzR2u5RWXWjUh7CwLSvbitA,Mario Souto - Dev Soutinho,@DevSoutinho,"Olá pessoas, eu sou Mario Souto e aqui você vai ver vídeos novos sobre o mundo da programação toda SEGUNDA-FEIRA as 11h \o/ (Se tudo correr bem haha) Após 3 anos trabalhando como instrutor e desde os 11 mexendo com programação decidi compartilhar um pouco dos meus conhecimentos e pesquisas aqui no YouTube, a ideia é trazer conteúdos da forma mais clara o possível, sempre tentando resolver os problemas do dia a dia e as vezes algumas reflexões. ## Quer fazer algum anúncio/parceria aqui no canal? - devsoutinho@gmail.com ## Tem alguma dúvida? Manda nos comentários de algum vídeo, sua dúvida pode ser a de outra pessoa ai todo mundo sai ganhando :D",alura|javascript|js|css|reactjs|dev soutinho|mario souto|mario souto alura|mario souto javascript|jogo com javascript|criando primeiro jogo|como programar|react native|efeitos com css|animacoes com css,https://www.youtube.com/channel/UCzR2u5RWXWjUh7CwLSvbitA
UC07JWf9A0B1scApbS1Te7Ww,DevPleno,@DevPleno,"Dicas de carreira e tutoriais de programação para você se tornar um profissional completo ou um devPleno. Tulio Faria é mestre em Sistemas de Informação pela USP e criador do DevPleno. Iniciou sua carreira como professor ainda jovem, com apenas 18 anos em um curso técnico. Depois disso, foram 11 anos em sala de aula formando desenvolvedores fullstack no sul de Minas Gerais. Hoje, é empresário e também atua em uma empresa de grande porte do exterior.  Em 2017, resolveu se dedicar ainda mais ao projeto que sonhou por anos, o DevPleno, cujo objetivo é auxiliar profissionais de tecnologia a alcançarem sucesso em suas carreiras por meio de conteúdo de qualidade e de fácil clareza. contato@devpleno.com",devpleno|desenvolvimento|de|software|desenvolvedor|developer|nodejs,https://www.youtube.com/channel/UC07JWf9A0B1scApbS1Te7Ww
UCs8iGueAbWqIZK7MtUkIl0w,Renato Gava,@renatogava,"Programador Sênior .NET Full Stack. Certificado pela Microsoft, mais de 16 anos de experiência. Professor de programação e empresário, passei por todas as etapas da carreira de programador, até construir minha empresa do zero e viver dela. Hoje tenho a liberdade de trabalhar do conforto de casa ou de qualquer outro lugar do mundo. Compartilho conteúdo para ajudar os iniciantes e te ensino a programar do zero. Vem ser meu aluno! ",coder|developer|ti|javascript|c#|desenvovilmento|coding|programing|back-end|front-end|software|carreira|tecnologia|programar|css|html|programação|aulas|tecnologia|código fonte|lógica de programação|aprender a programar|web development|aprender programação do zero|como se tornar programador|iniciar em programação|engenharia de software|programação para iniciantes|programação do zero|curso de programação|curso de programação para iniciante|curso de programação do zero,https://www.youtube.com/channel/UCs8iGueAbWqIZK7MtUkIl0w
UCrdgeUeCll2QKmqmihIgKBQ,Programador BR,@Programadorbr,"O lugar certo para quem quer saber sobre programação, carreira e empreendedorismo. Não necessariamente nesta ordem.",Tecnologia|Programação|Javascript|Empreendedorismo|Apps|Aplicativos|Software|iOS|Android|Dev|Programador|Carreira|Swift|Flutter|Desenvolvimento Web|Desenvolvimento Mobile|Google Play|App Store|Desenvolvimento de Apps|Programação para iniciantes|Como programar|Dev independente,https://www.youtube.com/channel/UCrdgeUeCll2QKmqmihIgKBQ
UCsZUsfiCKTvUQRBWnfzc9lg,Elder Moraes,@eldermoraes,"Este canal é feito para ajudar devs a ocuparem as posições mais bem pagas do mercado usando Java no backend. Meu nome é Elder Moraes, sou um Java Champion, autor de cinco livros e membro da diretoria do SouJava, um dos maiores grupos de usuário Java do mundo. Já estive em 9 países compartilhando experiências e melhores práticas, alcançando mais de 70.000 desenvolvedores. Por mais de 20 anos eu venho atuando profissionalmente no mundo de desenvolvimento de software, tendo trabalhado em alguns dos maiores projetos do Brasil e também passado por empresas como Oracle e Red Hat. ",java|microservices|containers|kubernetes|quarkus|docker|java tutorial for beginners|java tutorial|java programming|jakarta ee|jakarta ee tutorial|jakarta ee microprofile|microservices architecture|microservices tutorial|microservices design pattern|containers explained|containers vs virtual machines|cloud native|cloud native architecture|kubernetes tutorial|kubernetes tutorial for beginners|quarkus java|quarkus tutorial|quarkus java tutorial|docker container,https://www.youtube.com/channel/UCsZUsfiCKTvUQRBWnfzc9lg
UC-Xa9J9-B4jBOoBNIHkMMKA,Téo Me Why,@teomewhy,"Oi, eu sou o Téo Calvo, do canal Téo Me Why: estatístico que resolveu fazer lives em vez de dashboards. Sou Embaixador da Nekt, Twitch Partner, GeForce Partner e GitHub Star, o que basicamente significa que passo boa parte do meu tempo ensinando Python, SQL, Estatística e Machine Learning ao vivo, com memes e referências duvidosas. Já passei por empresas como Globo, Gamers Club, Via Varejo, Grupo Boticário e SAS Institute, mas hoje prefiro estar do lado de quem quer aprender sem pagar uma fortuna ou dormir em aula gravada. Já tive a chance de construir e liderar áreas completas de dados, desenvolvendo talentos e novas lideranças. Minha missão? Emancipar o conhecimento, levando educação em dados para quem mais precisa. Bora aprender com a gente? ",python|ensino|dados|iniciante|python do zero,https://www.youtube.com/channel/UC-Xa9J9-B4jBOoBNIHkMMKA
UCyHOBY6IDZF9zOKJPou2Rgg,Lucas Montano,@LucasMontano,"Escrevendo código desde 2002, atualmente trabalho como Lead Engineer no Disney+ e falo sobre o que quero no Youtube. Tu pode se tornar membro para ter acesso a ""aulas"" e lives exclusivas: https://www.youtube.com/channel/UCyHOBY6IDZF9zOKJPou2Rgg/join | 🧠 App para firmar conteúdo: http://memoapp.dev | 🍓 Tu não vai entender: https://stupidbutton.club | 📱 Vendedor de Curso: https://appacademy.dev | 💜 Comunidade no Discord: https://discord.gg/cK8nSccsgD Da uma olhada no meu site pra mais links, lá tu encontra tudo que precisa saber sobre o que tenho feito e onde estou: http://lucasmontano.com/ ",Computer Programming,https://www.youtube.com/channel/UCyHOBY6IDZF9zOKJPou2Rgg
UCN-wFj5TQDNMjQZEOp2RNfA,Professor Edson Maia,@ProfessorEdsonMaia,"Professor | Geógrafo | Dev Full Stack | Designer Professor de Geografia e Informática Desenvolvedor Web, Mobile e de Jogos Designer Saudações Geográficas... Salve Devs!!! ",Programação|Dev|Desenvolvimento|Web|HTML5|CSS3|JS|ReactJS|NodeJS|PHP|Geografia|Cursos|Aulas|Aprenda|Programar|Code|Codar|Jogos|Práticas|Exercícios|Algoritmo|Linguagem|Programa|GitHub|Projetos|Quiz|App|Jogo|Design|Maquetes|Pintura|Experiências|Experimentos|Atividades|Banco de Dados|Aprender fácil|Aprender Rápido|Lógica de Programação|Técnicas de Programação|Projeto Completo|Criar Jogo|Design Gráfico|Design Web|Aulas de Geografia,https://www.youtube.com/channel/UCN-wFj5TQDNMjQZEOp2RNfA
UC2XpRp9gpbMFK4kS06u7jkQ,Garagem do Inventor,@GaragemDoInventor,"Seja Bem-Vindo (a) à Garagem do Inventor. Aqui, Wesley Milan fala sobre Programação, Tecnologia, sobre como é a vida de um Programador, também sobre Eletrônica, Arquitetura de Software, Cloud Computing, Internet das Coisas (IoT), Impressão 3D, Edição e Criação 3D utilizando Fusion 360, SolidWorks e outros softwares, e muitas outras coisas. #Impressão3D #Maker #TecnologiaCriativa ",uiq|javascript|node.js|php|loopback|programação|desenvolvimento|programar|tecnologia|inventor|invenção|eletrônica|iot|Curso AWS na Prática|Curso Prático AWS|Curso AWS|Arquitetura de Software|wesley milan|cloud computing|web development|análise de sistemas|desenvolvedor web|analista de sistemas|amazon web services|como programar|internet das coisas|impressão 3d|impressora 3d,https://www.youtube.com/channel/UC2XpRp9gpbMFK4kS06u7jkQ
